                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1876,                 4.1035,                0.92635,                0.80648,                0.71595,                0.74461,                0.54426,                0.97757,                0.88968,                0.81131,               0.070638,              0.0032624,              0.0032624
                      1,                0.97219,                0.97116,                0.85013,                 0.7007,                0.86228,                 0.8757,                0.62185,                0.89912,                0.82889,                0.80492,               0.038462,              0.0044191,              0.0044191
                      2,                0.94015,                0.77948,                0.83899,                0.92704,                0.80241,                0.91038,                0.64915,                0.87868,                0.60009,                0.78924,              0.0040851,              0.0033759,              0.0033759
